Inference for Stan model: ACNQSRR101_model
4 chains: each with iter=(1000,1000,1000,1000); warmup=(0,0,0,0); thin=(1,1,1,1); 4000 iterations saved.
Warmup took (17843, 16651, 16844, 17598) seconds, 19 hours total
Sampling took (15824, 16193, 15319, 15923) seconds, 18 hours total
                        Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
param[35,1]         1.6e+000 1.4e-003 3.9e-002  1.6e+000  1.6e+000  1.7e+000 7.6e+002 1.2e-002 1.0e+000
param[35,2]        -9.5e-001 6.3e-004 1.6e-002 -9.8e-001 -9.5e-001 -9.3e-001 6.9e+002 1.1e-002 1.0e+000
param[35,3]         5.6e-001 1.0e-003 2.4e-002  5.1e-001  5.6e-001  5.9e-001 5.8e+002 9.1e-003 1.0e+000
param[36,1]         1.9e+000 3.0e-003 6.8e-002  1.8e+000  1.9e+000  2.0e+000 5.1e+002 8.1e-003 1.0e+000
param[36,2]        -1.2e+000 1.2e-003 3.1e-002 -1.2e+000 -1.2e+000 -1.1e+000 6.6e+002 1.0e-002 1.0e+000
param[36,3]         4.8e-001 1.7e-003 3.8e-002  4.2e-001  4.8e-001  5.5e-001 5.2e+002 8.2e-003 1.0e+000
param[37,1]         2.3e+000 1.2e-003 2.7e-002  2.3e+000  2.3e+000  2.4e+000 5.3e+002 8.4e-003 1.0e+000
param[37,2]        -7.2e-001 9.1e-004 2.1e-002 -7.5e-001 -7.2e-001 -6.8e-001 5.2e+002 8.2e-003 1.0e+000
param[37,3]         9.7e-002 1.2e-003 2.6e-002  5.5e-002  9.7e-002  1.4e-001 4.5e+002 7.1e-003 1.0e+000
param[38,1]         2.1e-001 2.0e-002 1.9e-001  4.5e-002  1.8e-001  5.9e-001 9.7e+001 1.5e-003 1.0e+000
param[38,2]        -2.2e+000 2.1e-002 3.2e-001 -2.9e+000 -2.2e+000 -1.8e+000 2.4e+002 3.8e-003 1.0e+000
param[38,3]         6.0e-001 8.3e-003 1.3e-001  4.2e-001  5.9e-001  8.2e-001 2.3e+002 3.7e-003 1.0e+000
param[39,1]         5.0e+000 1.5e-002 3.0e-001  4.5e+000  5.0e+000  5.5e+000 4.2e+002 6.6e-003 1.0e+000
param[39,2]        -5.6e-001 1.3e-003 2.6e-002 -6.0e-001 -5.6e-001 -5.2e-001 4.1e+002 6.5e-003 1.0e+000
param[39,3]         2.8e-001 3.3e-003 6.4e-002  1.7e-001  2.8e-001  3.7e-001 3.8e+002 6.0e-003 1.0e+000
param[40,1]         2.3e+000 1.2e-003 3.0e-002  2.3e+000  2.3e+000  2.4e+000 6.1e+002 9.6e-003 1.0e+000
param[40,2]        -7.1e-001 7.0e-004 1.7e-002 -7.5e-001 -7.1e-001 -6.9e-001 6.2e+002 9.8e-003 1.0e+000
param[40,3]         1.0e-001 1.1e-003 2.4e-002  6.1e-002  1.0e-001  1.4e-001 4.8e+002 7.6e-003 1.0e+000
param[41,1]         2.8e+000 4.4e-003 8.1e-002  2.7e+000  2.7e+000  2.9e+000 3.4e+002 5.3e-003 1.0e+000
param[41,2]        -7.9e-001 1.4e-003 2.8e-002 -8.3e-001 -7.9e-001 -7.4e-001 4.2e+002 6.6e-003 1.0e+000
param[41,3]         1.3e-001 2.5e-003 4.7e-002  5.9e-002  1.2e-001  2.1e-001 3.4e+002 5.4e-003 1.0e+000
param[42,1]         2.4e+000 4.3e-003 9.5e-002  2.3e+000  2.4e+000  2.6e+000 4.9e+002 7.7e-003 1.0e+000
param[42,2]        -1.5e+000 1.2e-003 3.1e-002 -1.5e+000 -1.5e+000 -1.4e+000 6.3e+002 1.0e-002 1.0e+000
param[42,3]         6.1e-001 1.7e-003 3.7e-002  5.6e-001  6.1e-001  6.8e-001 4.8e+002 7.5e-003 1.0e+000
param[43,1]         2.8e+000 2.6e-003 5.3e-002  2.7e+000  2.8e+000  2.9e+000 4.2e+002 6.6e-003 1.0e+000
param[43,2]        -7.7e-001 1.1e-003 2.3e-002 -8.0e-001 -7.7e-001 -7.3e-001 4.8e+002 7.6e-003 1.0e+000
param[43,3]         2.3e-001 1.6e-003 3.1e-002  1.9e-001  2.3e-001  2.9e-001 3.9e+002 6.2e-003 1.0e+000
param[44,1]         2.5e+000 1.6e-003 3.4e-002  2.5e+000  2.5e+000  2.6e+000 4.5e+002 7.1e-003 1.0e+000
param[44,2]        -7.3e-001 1.8e-003 3.8e-002 -7.9e-001 -7.2e-001 -6.7e-001 4.6e+002 7.2e-003 1.0e+000
param[44,3]         9.4e-002 1.9e-003 3.6e-002  4.0e-002  9.3e-002  1.6e-001 3.7e+002 5.9e-003 1.0e+000
param[45,1]         2.8e+000 5.4e-003 8.3e-002  2.7e+000  2.8e+000  2.9e+000 2.4e+002 3.7e-003 1.0e+000
param[45,2]        -6.3e-001 1.7e-003 2.8e-002 -6.8e-001 -6.4e-001 -5.8e-001 2.7e+002 4.3e-003 1.0e+000
param[45,3]         7.0e-003 3.6e-003 5.5e-002 -7.4e-002  2.9e-003  1.1e-001 2.3e+002 3.6e-003 1.0e+000
param[46,1]        -5.9e-001 2.3e-002 4.0e-001 -9.5e-001 -6.9e-001  2.0e-001 2.9e+002 4.7e-003 1.0e+000
param[46,2]        -1.8e+000 2.4e-002 6.3e-001 -2.8e+000 -1.8e+000 -7.6e-001 6.7e+002 1.1e-002 1.0e+000
param[46,3]         5.9e-001 1.7e-002 3.6e-001  7.3e-002  5.7e-001  1.2e+000 4.6e+002 7.3e-003 1.0e+000
param[47,1]        -5.3e-001 6.7e-002 4.9e-001 -9.2e-001 -6.4e-001  2.3e-001 5.4e+001 8.5e-004 1.1e+000
param[47,2]        -1.7e+000 3.2e-002 6.9e-001 -2.7e+000 -1.7e+000 -5.8e-001 4.5e+002 7.1e-003 1.0e+000
param[47,3]         5.5e-001 1.8e-002 3.6e-001 -9.0e-003  5.5e-001  1.1e+000 3.8e+002 5.9e-003 1.0e+000
param[48,1]         3.0e+000 5.5e-003 9.4e-002  2.9e+000  3.0e+000  3.2e+000 2.9e+002 4.6e-003 1.0e+000
param[48,2]        -8.1e-001 2.5e-003 5.1e-002 -8.9e-001 -8.1e-001 -7.2e-001 4.3e+002 6.8e-003 1.0e+000
param[48,3]         4.1e-001 2.5e-003 4.5e-002  3.5e-001  4.1e-001  4.9e-001 3.3e+002 5.2e-003 1.0e+000
param[49,1]         2.3e+000 3.9e-003 8.4e-002  2.2e+000  2.3e+000  2.4e+000 4.5e+002 7.2e-003 1.0e+000
